electrical_capacity,energy_source_level_1,energy_source_level_2,energy_source_level_3,technology,data_source,nuts_1_region,nuts_2_region,nuts_3_region,lon,lat,municipality,postcode,region,locality,owner,site_name
2,Renewable energy,Wind,,Onshore,ERU,CZ0,CZ05,CZ051,15.0333,50.95,Liberec,464 01,Liberecký,Dětřichov,ActiveEnergo s.r.o.,VTE Dětřichov
3,Renewable energy,Wind,,Onshore,ERU,CZ0,CZ05,CZ052,15.7833,50.4833,Trutnov,544 62,Královéhradecký,Vítězná,OBČANSKÝ VĚTRNÝ PARK a.s.,Občanský větrný park - Vítězná
2.2,Renewable energy,Wind,,Onshore,ERU,CZ0,CZ05,CZ052,15.9167,50.5167,Trutnov,541 01,Královéhradecký,Zlatá Olešnice,FER s.r.o.,"VTE Zlatá Olešnice, 538/1"
2,Renewable energy,Wind,,Onshore,ERU,CZ0,CZ05,CZ052,15.9167,50.5167,Trutnov,541 01,Královéhradecký,Zlatá Olešnice,"FAN plus, s.r.o.",VE Zlatá Olešnice
3,Renewable energy,Wind,,Onshore,ERU,CZ0,CZ05,CZ052,15.9167,50.5167,Trutnov,541 01,Královéhradecký,Zlatá Olešnice,PRO PLUS s.r.o.,Zlatá Olešnice
0.005,Renewable energy,Wind,,Onshore,ERU,CZ0,CZ03,CZ032,13.4833,49.75,Plzeň-sever,330 01,Plzeňský,Kyšice,,VTE Bartošová - výroba elektřiny
1.25,Renewable energy,Wind,,Onshore,ERU,CZ0,CZ05,CZ053,16.6667,49.9667,Ústí nad Orlicí,563 01,Pardubický,Anenská Studánka,IVB wind s.r.o.,VTE D6 Anenská Studánka
0.25,Renewable energy,Wind,,Onshore,ERU,CZ0,CZ05,CZ053,16.6667,49.9667,Ústí nad Orlicí,563 01,Pardubický,Anenská Studánka,"Plastobal, s.r.o.",Větrná elektrárna 1
26.1,Renewable energy,Wind,,Onshore,ERU,CZ0,CZ05,CZ051,14.8333,50.8333,Liberec,463 34,Liberecký,Hrádek nad Nisou,EEH s.r.o.,VTE Václavice
0.007,Renewable energy,Wind,,Onshore,ERU,CZ0,CZ06,CZ064,16.4167,49.2167,Brno-venkov,664 81,Jihomoravský,Ostrovačice,,VTE
0.1,Renewable energy,Wind,,Onshore,ERU,CZ0,CZ07,CZ071,16.8333,49.5,Prostějov,798 48,Olomoucký,Protivanov,Ezektra DS s.r.o.,Větrná elektrárna
4.4,Renewable energy,Wind,,Onshore,ERU,CZ0,CZ08,CZ080,17.7667,49.8333,Opava,747 84,Moravskoslezský,Melč,SYNERGION ALFA CZ s.r.o.,VTE Melč
15.82,Renewable energy,Wind,,Onshore,ERU,CZ0,CZ04,CZ041,12.5333,50.3333,Sokolov,358 01,Karlovarský,Jindřichovice,SYNERGION ALFA CZ s.r.o.,VTE Jindřichovice II
2.2,Renewable energy,Wind,,Onshore,ERU,CZ0,CZ07,CZ071,17.1333,50.35,Jeseník,790 65,Olomoucký,Kobylá nad Vidnavkou,"VE Kobylá nad Vidnavkou, s.r.o.",VTE Kobylá
0.5,Renewable energy,Wind,,Onshore,ERU,CZ0,CZ07,CZ071,17.0333,49.95,Šumperk,788 03,Olomoucký,Nový Malín,,VE Mladoňov
0.315,Renewable energy,Wind,,Onshore,ERU,CZ0,CZ04,CZ041,12.85,50.4333,Karlovy Vary,363 01,Karlovarský,Jáchymov,SOLARHOME s.r.o.,VĚTRNÁ ELEKTRÁRNA EWT 315
4.52,Renewable energy,Wind,,Onshore,ERU,CZ0,CZ03,CZ032,12.7667,49.9,Tachov,348 15,Plzeňský,Bor,Větrné elektrárny Bor s.r.o.,VTE Bor
